frame_id,broadcast_player_id,tacticam_player_id,confidence,timestamp,time_difference
7,player_0,player_1,0.5107665581920995,0.2821212121212121,0.04265490728177296
8,player_1,player_1,0.5151220708102467,0.32242424242424245,0.0023518769787426175
10,player_2,player_1,0.48513579252866657,0.403030303030303,0.07825418362731795
17,player_3,player_1,0.4255334042543142,0.6851515151515152,0.3603753957485301
22,player_4,player_2,0.39556629058376597,0.8866666666666667,0.3718407960199004
23,player_5,player_2,0.4150166324416557,0.926969696969697,0.3315377657168701
24,player_6,player_2,0.44157136205972985,0.9672727272727273,0.2912347354138398
25,player_7,player_2,0.44754239548127883,1.0075757575757576,0.25093170511080953
26,player_8,player_2,0.44988176734160884,1.0478787878787879,0.21062867480777925
27,player_9,player_2,0.45257299578422444,1.0881818181818181,0.17032564450474896
28,player_10,player_2,0.46406795917543014,1.1284848484848484,0.13002261420171868
33,player_11,player_3,0.4589707750350375,1.33,0.030895522388059815
41,player_12,player_7,0.6671940219686695,1.6524242424242424,0.05265038444142922
70,player_13,player_9,0.4374690996980178,2.8212121212121213,0.3853912256897334
71,player_14,player_9,0.4598858514268024,2.8615151515151513,0.42569425599276345
79,player_15,player_9,0.4707583935267477,3.183939393939394,0.7481184984170062
